City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,constanza,47.6603,9.1758,291.93,69,47,0.89,DE,1715332726
222,hasaki,35.7333,140.8333,293.37,59,1,8.06,JP,1715332576
223,cockburn town,21.4612,-71.1419,298.59,83,9,6.05,TC,1715332428
224,chonchi,-42.6128,-73.8092,277.1,91,54,0.3,CL,1715332429
225,belmonte,-15.8631,-38.8828,296.45,93,44,2.82,BR,1715332728
226,izbiceni,43.8333,24.65,285.49,53,98,4.55,RO,1715332729
227,santa elena de uairen,4.6167,-61.1333,293.18,95,100,1.09,VE,1715332730
228,imgarr,35.9206,14.3664,292.97,68,20,5.66,MT,1715332731
229,tura,25.5198,90.2201,305.93,37,35,2.94,IN,1715332598
230,newman,37.3138,-121.0208,291.14,68,0,2.24,US,1715332591
231,mount gambier,-37.8333,140.7667,285.57,95,31,2.62,AU,1715332733
232,dumas,35.8656,-101.9732,283.23,62,0,2.57,US,1715332733
233,qamdo,31.1667,97.2333,281.99,46,99,4.56,CN,1715332734
234,cantanhede,-3.6333,-44.3767,296.8,90,100,1.14,BR,1715332735
235,karratha,-20.7377,116.8463,300.96,38,88,5.04,AU,1715332658
236,altai,46.3722,96.2583,287.35,20,17,5.13,MN,1715332736
237,ta`u,-14.2336,-169.5144,300.87,82,63,4.42,AS,1715332737
238,eyl,7.9803,49.8164,304.12,68,79,4.24,SO,1715332738
239,robore,-18.3333,-59.75,291.38,95,87,1.79,BO,1715332738
240,lerwick,60.1545,-1.1494,283.15,93,100,4.7,GB,1715332739
241,dawei,14.0833,98.2,304.92,63,60,3.34,MM,1715332740
242,port hedland,-20.3167,118.5667,301.18,51,26,6.17,AU,1715332741
243,asuncion nochixtlan,17.4667,-97.2333,290.62,42,100,1.3,MX,1715332742
244,luderitz,-26.6481,15.1594,290.95,61,0,6.82,NA,1715332742
245,hameln,52.104,9.3562,293.75,66,31,1.72,DE,1715332743
246,san julian,21.0167,-102.1667,294.75,20,88,2.72,MX,1715332744
247,calvinia,-31.4707,19.776,289.05,33,0,2.57,ZA,1715332745
248,zhezqazghan,47.7833,67.7667,293.47,30,0,6.0,KZ,1715332745
249,lihue,21.9789,-159.3672,295.92,84,75,5.14,US,1715332534
250,egilsstadir,65.2653,-14.3948,281.1,57,75,1.54,IS,1715332747
251,mili,6.0815,171.735,301.32,84,98,5.73,MH,1715332747
252,alva,56.1528,-3.8051,292.06,73,100,3.06,GB,1715332748
253,maile,-38.9466,-72.3727,275.49,99,100,0.96,CL,1715332749
254,batamshinskiy,50.5594,58.2747,281.75,31,97,5.66,KZ,1715332749
255,la passe,45.5549,-0.8967,294.49,69,32,3.31,FR,1715332454
256,boju,7.3783,7.9112,303.77,66,93,3.4,NG,1715332751
